ㄹ,지역_소분류,매장명,테마명,장르,난이도,시간,오픈(리뉴얼),비고
서울,강남,개꿀이스케이프,말장난감,,5,50분,2024.05.04,5월 내 종료예정
서울,강남,개꿀이스케이프,사랑방,,4,50분,2024.05.04,5월 내 종료예정
서울,강남,개꿀이스케이프,1세대 방탈출 박물관,,3,50분,2024.05.04,5월 내 종료예정
서울,강남,개꿀이스케이프,전지적 용사시점,,3,50분,2024.08.28,5월 내 종료예정
서울,강남,개꿀이스케이프,알록달록,,4,50분,2024.08.28,5월 내 종료예정
서울,강남,개꿀이스케이프,탈옥,,5,50분,2024.08.28,5월 내 종료예정
서울,강남,겟어웨이방탈출,악마와 싸우는 자,스릴러,3.5,65분,2024.01.10,
서울,강남,겟어웨이방탈출,기억을 잃은 자들,드라마,2.5,65분,2024.01.20,
서울,강남,겟어웨이방탈출,사라진 성물,드라마,2.5,60분,2024.03.25,
서울,강남,넥스트에디션 강남3호점,야근,서스펜스,3,60분,2019.10.26,
서울,강남,넥스트에디션 강남3호점,첫만남,드라마,4,60분,2019.10.26,
서울,강남,넥스트에디션 강남3호점,마지막 일주,신화/판타지,3,60분,2019.12.17,
서울,강남,넥스트에디션 강남3호점,크리쳐-신인류의 탄생,SF,3,65분,2020.02.10,
서울,강남,넥스트에디션 강남3호점,안녕하세요? 무엇을 도와드릴까요?,판타지,3,60분,2019.11.02,
서울,강남,넥스트에디션 강남5호점,뱅크럽,로맨스,3,60분,2020.01.23,
서울,강남,넥스트에디션 강남5호점,우리동네 김선의,힐링,3,60분,2020.01.23,
서울,강남,넥스트에디션 강남5호점,그래도 피망은 먹기 싫단 말이에욧,참교육,4,60분,2020.03.01,
서울,강남,넥스트에디션 강남5호점,SOS,조난,5,70분,2020.03.23,
서울,강남,단편선 강남점,그림자 없는 상자,,3,75분,2022.02.07,
서울,강남,단편선 강남점,사람들은 그것을 행복이라 부르기로 했다,,4,80분,2022.06.22,
서울,강남,도어이스케이프 강남가든점,출동,코믹 감성,3,70분,2022.05.31,
서울,강남,도어이스케이프 강남가든점,인서트 코인,게임 아케이드,3.5,60분,2022.08.26,
서울,강남,도어이스케이프 강남가든점,둘이라면,요리,2.5,60분,2022.09.16,
서울,강남,도어이스케이프 강남가든점,이매진,코믹,3,70분,2023.06.14,
서울,강남,도어이스케이프 신논현 레드점,럭키,코믹,4,75분,2020.07.29,
서울,강남,도어이스케이프 신논현 레드점,비,게임,5,77분,2020.09.14,
서울,강남,도어이스케이프 신논현 레드점,유전,?,과거 3 현재 7,75분,2020.11.25,
서울,강남,도어이스케이프 신논현 블루점,트루스,스릴러,4,80분,2021.01.21,
서울,강남,도어이스케이프 신논현 블루점,이방인,아케이드성 추리,일반모드 3.5 협력모드 4.5,120분,2021.05.19,
서울,강남,라스트이스케이프,비서,,3,60분,2019.08.26,
서울,강남,라스트이스케이프,오감,,초보자 4 숙련자 3.5,60분,2019.09,
서울,강남,라스트이스케이프,클럽 레벨스,,2,60분,2019.08,
서울,강남,라스트이스케이프,알카트라즈,,3,60분,2019.08.26,
서울,강남,룸즈에이 강남점,광야,역사/작전,4,70분,2020.09.30,
서울,강남,룸즈에이 강남점,왕자님이 찾으십니다,판타지,5,70분,2020.09.30,
서울,강남,룸즈에이 강남점,집떡 묘선생,동화,3.5,60분,2021.09.02,
서울,강남,룸즈에이 강남점,테마 팩토리,문제해결/AI,5,70분,2021.10.25,
서울,강남,미스터리룸이스케이프 강남점,인형괴담,공포/미스터리,3,60분,2017.10,
서울,강남,미스터리룸이스케이프 강남점,소서러,판타지,3,60분,2017.10,
서울,강남,미스터리룸이스케이프 강남점,영혼의 편지,추리/스릴러,4,60분,2015.12.07,
서울,강남,미스터리룸이스케이프 강남점,개인병원의 비밀,미스터리/스릴러,,60분,2015.12.15,
서울,강남,미스터리룸이스케이프 강남점,사라진 왕관,판타지,3,60분,2015.12.07,
서울,강남,비트포비아 강남던전,로스트 킹덤 : 잊혀진 전설,모험 탐험,NORMAL,60분,2019.06.21,
서울,강남,비트포비아 강남던전,마음을 그려드립니다,판타지,NORMAL,60분,2019.06.21,
서울,강남,비트포비아 강남던전,대호시장 살인사건,추리,HARD,60분,2019.06.21,
서울,강남,비트포비아 강남던전,강남목욕탕,코믹,EASY,60분,2019.06.21,
서울,강남,비트포비아 강남던전 2호점,로스트 킹덤 2: 대탐험의 시작,모험 탐험,NORMAL,75분,2020.10.29,
서울,강남,비트포비아 강남던전 2호점,메이데이,SF,NORMAL,65분,2020.11.06,
서울,강남,비트포비아 던전 루나,검은 운명의 밤,추리,NORMAL,65분,2023.05.31,
서울,강남,비트포비아 던전 루나,3일,판타지,NORMAL,75분,2023.10.07,
서울,강남,비트포비아 던전 스텔라,데스티니 앤드 타로,판타지,NORMAL,75분,2024.01.13,
서울,강남,비트포비아 던전 스텔라,향,"호러,공포",NORMAL,70분,2024.03.21,
서울,강남,비트포비아 던전 스텔라,TIENTANG CITY,"탈출, 잠입",NORMAL,75분,2024.08.21,
서울,강남,세븐클루스 강남1호점,룸 401,추리,3,60분,2016.05.18,
서울,강남,세븐클루스 강남1호점,환생,추리,3,60분,2018.11,
서울,강남,세븐클루스 강남1호점,러브 에센스,로맨스,3,60분,2018.11,
서울,강남,세븐클루스 강남1호점,원한(원숭이의 한),액션,4,60분,2018.11.02,
서울,강남,세븐클루스 강남1호점,더 홀,액션,3,60분,2016.05.09,
서울,강남,세븐클루스 강남1호점,사라진 백마교도,스릴러,4,60분,2016.05.10,
서울,강남,세븐클루스 강남2호점,죽음의 GP507,액션,4,60분,2016.10.24,
서울,강남,세븐클루스 강남2호점,백설공주의 비밀,로맨스,3,60분,2016.10.24,
서울,강남,세븐클루스 강남2호점,데드 얼라이브,스릴러,4,60분,2016.10.24,
서울,강남,세븐클루스 강남2호점,차이나타운의 진실,스릴러,3,60분,2016.10.24,
서울,강남,스튜디오 ESC,검은 마법사,판타지,3,75분,2023.11.14,
서울,강남,스튜디오 ESC,하얀 마법사,판타지,4,75분,2024.03.01,
서울,강남,싸인이스케이프 강남시티점,러너웨이,,4,75분,2021.03.16,
서울,강남,싸인이스케이프 강남시티점,머스트,잠입 드라마,4,75분,2022.07.15,
서울,강남,싸인이스케이프 강남시티점,익스프레스,문제방,5,40분,2023.04.28,
서울,강남,에피소드방탈출 강남점,귀문기담,공포,3,75분,2022.05.15,
서울,강남,에피소드방탈출 강남점,메아리,스릴러,3.5,75분,2023.03.02,
서울,강남,에피소드방탈출 강남점,그래서 님 몇 방?,문제방,,60분,2025.01.20,
서울,강남,엑소더스방탈출카페 강남점,클레임,판타지,4,70분,2022.12.25,
서울,강남,엑소더스방탈출카페 강남점,위시,감성/판타지,3,75분,2023.12.25,
서울,강남,엑스케이프 강남점,기억의 틈,추리/드라마,3,70분,2019.10.16,
서울,강남,엑스케이프 강남점,수취인 초대,미스터리/스릴러,4,70분,2020.01.11,
서울,강남,엑스케이프 강남점,제3표류도,수사추리/어드벤처,4,80분,2022.11.06,
서울,강남,이룸에이트,죽지 않아,19금/코믹,3,60분,2020.05.16,
서울,강남,이룸에이트,나의 계획은,15금/드라마,3,60분,2021.05,
서울,강남,이룸에이트,아이엠 유튜버,참교육/코믹,3,60분,2021.06.30,
서울,강남,이룸에이트,고령화사회,수사/추리,3,60분,2021.12.10,
서울,강남,이룸에이트,스테이시,감성/판타지,4,60분,2022.10.27,
서울,강남,이룸에이트,고인,미스터리,5,60분+@,2023.09.01,
서울,강남,이룸에이트,민초,코믹/잠입,3,60분,2023.04.26,
서울,강남,이룸에이트,낙원,스릴러/추적,4,60분,2024.04.25,
서울,강남,이스케이프랩,이세계 용사,판타지,4,100분,2021.03.27,
서울,강남,제로월드 강남점,아이엠,"추리,스릴러",4,75분,2020.07.07,
서울,강남,제로월드 강남점,어느 겨울밤 2,판타지,3,60분,2020.07.10,
서울,강남,제로월드 강남점,콜러,공포,5,75분,2020.07.31,
서울,강남,제로월드 강남점,나비효과,SF/드라마,3,75분,2020.08.26,
서울,강남,제로월드 강남점,링,공포,3,75분,2020.11.18,
서울,강남,제로월드 강남점,제로호텔 L,스릴러,4,60분,2021.01.02,
서울,강남,제로월드 강남점,돈,범죄 잠입 액션,3+α,75분,2021.03.12,
서울,강남,제로월드 강남점,포레스트,"공포,도전",4,75분,2021.04.28,
서울,강남,제로월드 강남점,헐!,코믹,4,90분,2022.03.24,
